"account_type","action","activity_code","amount","as_of_date","check_number","commission","commission_in_gross","contra_broker","cusip","customer","description","effective_date","entry_date","exchange_rate","fees","from_location","front_exec","held_currency_code","interest","maturity_date","misc_fee","nfa_fee","order_number","output_currency_code","payee","price","principal","quantity","sales_credit","sec_fee","security_class_code","security_type","state_tax","symbol","tax_exempt_status","taxes","to_location","trade","transaction_date","user_defined_action"
"INVENTORY","Purchase","","-24476.89","","","0","N","","27183MCA9","91APUN00","EAST COLUMBIA BASIN IRR DIST W IMPT AND REF BDS         2016","Tue, 15 Sep 2020 12:00:00 am EDT","Fri, 11 Sep 2020 10:54:37 pm EDT","1.00000","0","","VSIN","USD","288.89","","0","0","N0201F99","USD","","120.94","24188","20000","0","0","","FIXED","0","FIXED 27183MCA9","N/A","0","","Y","Fri, 11 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-45328.98","","","0","N","","452152S69","91APUN00","ILLINOIS ST GO BDS                   2017","Tue, 15 Sep 2020 12:00:00 am EDT","Fri, 11 Sep 2020  9:18:03 am EDT","1.00000","0","","VSIN","USD","577.78","","0","0","N0301F99","USD","","111.878","44751.2","40000","0","0","","FIXED","0","FIXED 452152S69","N/A","0","","Y","Fri, 11 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-142451.43","","","0","N","","167486B73","91APUN00","CHICAGO ILL GO BDS                   2010C","Tue, 15 Sep 2020 12:00:00 am EDT","Fri, 11 Sep 2020  4:39:02 pm EDT","1.00000","0","","VSIN","USD","1599.43","","0","0","N0303F99","USD","","140.852","140852","100000","0","0","","FIXED","0","FIXED 167486B73","N/A","0","","Y","Fri, 11 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","30495.5","","","0","Y","","799561NC5","91APUN00","SAN YSIDRO CALIF SCH DIST ELECTION 2020-SER A-MEAS","Thu, 17 Sep 2020 12:00:00 am EDT","Fri, 11 Sep 2020  6:02:57 am EDT","1.00000","0","","VSIN","USD","0","","0","0","N0304F99","USD","","121.982","-30495.5","-25000","0","0","","FIXED","0","FIXED 799561NC5","N/A","0","","Y","Fri, 11 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","34887.51","","","0","N","","167486B73","91APUN00","CHICAGO ILL GO BDS                   2010C","Wed, 16 Sep 2020 12:00:00 am EDT","Mon, 14 Sep 2020 12:26:29 am EDT","1.00000","0","","VSIN","USD","405.26","","0","0","N0019F99","USD","","137.929","-34482.25","-25000","0","0","","FIXED","0","FIXED 167486B73","N/A","0","","Y","Mon, 14 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","106782.87","","","0","N","","914440SL7","91APUN00","UNIVERSITY MASS BLDG AUTH PROJ TAXABLE SR BDS           2020-","Thu, 17 Sep 2020 12:00:00 am EDT","Tue, 15 Sep 2020  7:30:19 pm EDT","1.00000","0","","","USD","950.87","","0","0","N0101F99","USD","","105.832","-105832","-100000","0","0","","FIXED","0","FIXED 914440SL7","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase Cancellation","","258872","","","0","Y","","429326M57","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Tue, 15 Sep 2020  1:12:07 am EDT","1.00000","0","","","USD","0","","0","0","O0001F98","USD","","129.436","-258872","-200000","0","0","","FIXED","0","FIXED 429326M57","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase Cancellation","","176575.5","","","0","Y","","429326N23","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Tue, 15 Sep 2020  1:45:45 am EDT","1.00000","0","","","USD","0","","0","0","O0002F98","USD","","117.717","-176575.5","-150000","0","0","","FIXED","0","FIXED 429326N23","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase Cancellation","","258872","","","0","Y","","429326M57","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Tue, 15 Sep 2020  4:00:40 am EDT","1.00000","0","","","USD","0","","0","0","O0003F98","USD","","129.436","-258872","-200000","0","0","","FIXED","0","FIXED 429326M57","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-258872","","","0","Y","","429326M57","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Tue, 15 Sep 2020  6:28:43 pm EDT","1.00000","0","","","USD","0","","0","0","O0001F99","USD","","129.436","258872","200000","0","0","","FIXED","0","FIXED 429326M57","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
